City,Accident Type,Sector (others only),Number of Accidents,Near Misses,Fatal Accidents,Injury-only Accidents,People Killed,People Injured
Siddipet,roadway,,1,0,1,0,4,0
Surat,others,factory manufacturing,1,0,1,0,4,0
Udaipur,train,,1,0,1,0,4,0
Jaipur,others,factory manufacturing,2,0,1,0,3,0
Kollam,roadway,,2,0,1,0,3,0
Chhattisgarh,others,factory manufacturing,1,0,1,0,3,0
Faridkot,roadway,,1,0,1,0,3,3
Gondia,roadway,,1,0,1,0,3,0
Gorakhpur,train,,1,0,1,0,3,3
Greater Noida,old structure collapse,,1,0,1,0,3,3
Kawardha,roadway,,1,0,1,0,3,0
Latur,others,unspecified,1,0,1,0,3,1
Mannargudi,roadway,,1,0,1,0,3,0
Odisha,roadway,,1,0,1,0,3,0
Perambalur,roadway,,1,0,1,0,3,0
Raipur,others,factory manufacturing,1,0,1,0,3,3
Rohini,others,unspecified,1,0,1,0,3,0
Sangareddy,roadway,,1,0,1,0,3,7
Sangli,train,,1,0,1,0,3,3
Srivilliputhur,others,unspecified,1,0,1,0,3,0
Trichy,roadway,,1,0,1,0,3,0
Vijayawada,roadway,,1,0,1,0,3,0
Yadgir,others,factory manufacturing,1,0,1,0,3,0
Solapur,roadway,,3,0,1,0,2,10
Barnala,roadway,,2,0,1,0,2,2
Chandigarh,old structure collapse,,2,0,1,0,2,5
Delhi,construction ongoing,,2,0,2,0,2,3
Firozabad,roadway,,2,0,1,1,2,30
Kunnamkulam,roadway,,2,0,1,0,2,0
Navsari,roadway,,2,0,1,0,2,5
Sangli,roadway,,2,0,1,0,2,15
Tirupati,roadway,,2,0,1,0,2,0
Ajmer,roadway,,1,0,1,0,2,22
Bhadohi,train,,1,0,1,0,2,0
Champawat,old structure collapse,,1,0,1,0,2,0
Chandigarh,construction ongoing,,1,0,1,0,2,0
Chandigarh,others,unspecified,1,0,1,0,2,0
Chitradurga,roadway,,1,0,1,0,2,26
Etawah,construction ongoing,,1,0,1,0,2,24
Kannauj,others,factory manufacturing,1,0,1,0,2,0
Kotra,roadway,,1,0,1,0,2,0
Kovilpatti,roadway,,1,0,1,0,2,0
Kukatpally,roadway,,1,0,1,0,2,0
Kullu,roadway,,1,0,1,0,2,3
Malegaon,roadway,,1,0,1,0,2,2
Mohali,construction ongoing,,1,0,1,0,2,1
Nagpur,train,,1,0,1,0,2,0
Narnaul,roadway,,1,0,1,0,2,11
Not identified,others,electrical,1,0,1,0,2,0
Panipat,others,unspecified,1,0,1,0,2,0
Punjab,construction ongoing,,1,0,1,0,2,0
Raichur,roadway,,1,0,1,0,2,0
Sultanpur,roadway,,1,0,1,0,2,0
Delhi,old structure collapse,,4,0,1,1,1,5
Aurangabad,roadway,,2,0,1,1,1,42
Delhi,others,unspecified,2,0,1,0,1,0
Kerala,roadway,,2,0,1,0,1,26
Rajouri,roadway,,2,0,1,0,1,1
Banka,train,,1,0,1,0,1,0
Barabanki,roadway,,1,0,1,0,1,2
Bhogpur,others,unspecified,1,0,1,0,1,0
Ghaziabad,roadway,,1,0,1,0,1,21
Hardoi,construction ongoing,,1,0,1,0,1,0
Mahendragarh,roadway,,1,0,1,0,1,16
Rohini,old structure collapse,,1,0,1,0,1,1
Seoni,roadway,,1,0,1,0,1,15
Thrissur,roadway,,1,0,1,0,1,0
Ludhiana,train,,4,0,0,0,0,0
Bengaluru,roadway,,3,0,0,0,0,0
Bareilly,train,,2,0,0,0,0,0
Bihar,roadway,,2,0,0,0,0,0
Bihar,construction ongoing,,2,0,0,2,0,2
Chennai,roadway,,2,0,0,1,0,4
Delhi,others,factory manufacturing,2,1,0,0,0,0
Dombivli,old structure collapse,,2,0,0,0,0,0
Hathras,roadway,,2,0,0,0,0,0
Indore,roadway,,2,0,0,1,0,4
Kolhapur,roadway,,2,2,0,0,0,0
Kozhikode,old structure collapse,,2,1,0,0,0,0
Kushinagar,roadway,,2,0,0,1,0,8
Ludhiana,roadway,,2,0,0,0,0,0
Mathura,roadway,,2,0,0,1,0,25
Mumbai,train,,2,1,0,0,0,0
Nanded,old structure collapse,,2,0,0,0,0,0
Palamu,train,,2,0,0,1,0,11
Pune,roadway,,2,0,0,0,0,0
Rail,train,,2,1,0,0,0,0
Thane,old structure collapse,,2,0,0,1,0,2
Ahmedabad,aviation,,1,0,0,0,0,0
Aligarh,old structure collapse,,1,0,0,0,0,0
Aligarh,train,,1,0,0,0,0,0
Amreli,train,,1,1,0,0,0,0
Anand,roadway,,1,0,0,1,0,3
Anantapur,roadway,,1,0,0,1,0,20
Assam,aviation,,1,0,0,0,0,0
Assam,train,,1,0,0,0,0,0
Azamgarh,roadway,,1,0,0,0,0,0
Bahadurgarh,others,factory manufacturing,1,0,0,0,0,0
Baharampur,train,,1,0,0,0,0,0
Bahraich,roadway,,1,0,0,1,0,17
Bandlaguda,roadway,,1,0,0,0,0,0
Begusarai,roadway,,1,0,0,0,0,0
Bhandara,construction ongoing,,1,0,0,1,0,3
Bhavnagar,roadway,,1,0,0,0,0,0
Bhilai,others,factory manufacturing,1,0,0,0,0,0
Bidar,train,,1,0,0,0,0,0
Bihar,train,,1,0,0,0,0,0
Bijnor,train,,1,1,0,0,0,0
Buldhana,roadway,,1,0,0,1,0,12
Chandigarh,roadway,,1,1,0,0,0,0
Chennai,train,,1,0,0,0,0,0
Cherthala,roadway,,1,0,0,0,0,0
Chhattisgarh,roadway,,1,0,0,0,0,0
Coimbatore,train,,1,0,0,0,0,0
Dahod,roadway,,1,0,0,1,0,8
Daund,construction ongoing,,1,0,0,0,0,0
Dausa,roadway,,1,0,0,1,0,20
Dindigul,roadway,,1,0,0,0,0,0
Dombivli,train,,1,0,0,0,0,0
Etawah,roadway,,1,0,0,0,0,0
Ganderbal,roadway,,1,0,0,1,0,39
Ghaziabad,others,factory manufacturing,1,1,0,0,0,0
Ghaziabad,train,,1,0,0,0,0,0
Ghazipur,train,,1,0,0,0,0,0
Goa,roadway,,1,0,0,0,0,0
Gujarat,old structure collapse,,1,0,0,1,0,5
Gujarat,others,factory manufacturing,1,0,0,0,0,0
Haldia,port maritime,,1,0,0,0,0,0
Hingoli,roadway,,1,0,0,0,0,0
Hyderabad,roadway,,1,0,0,0,0,0
Jabalpur,old structure collapse,,1,1,0,0,0,0
Jabalpur,others,factory manufacturing,1,0,0,0,0,0
Jaipur,roadway,,1,0,0,0,0,0
Jalandhar,train,,1,0,0,0,0,0
Jalgaon,roadway,,1,0,0,0,0,0
Jalna,roadway,,1,0,0,0,0,0
Jammu,roadway,,1,0,0,1,0,9
Jamnagar,roadway,,1,0,0,0,0,0
Jetpur,roadway,,1,0,0,0,0,0
Jhajjar,old structure collapse,,1,0,0,0,0,0
Jhansi,roadway,,1,0,0,0,0,0
Jharkhand,train,,1,0,0,0,0,0
Kaliawadi,roadway,,1,0,0,0,0,0
Kalyan,old structure collapse,,1,0,0,0,0,0
Kalyan,construction ongoing,,1,0,0,0,0,0
Kanchipuram,roadway,,1,0,0,1,0,25
Kangra,roadway,,1,0,0,1,0,17
Kannur,old structure collapse,,1,0,0,0,0,0
Karimnagar,roadway,,1,0,0,0,0,0
Karnal,roadway,,1,0,0,1,0,8
Kerala,port maritime,,1,0,0,0,0,0
Khed,roadway,,1,0,0,0,0,0
Kishangarh,others,factory manufacturing,1,0,0,0,0,0
Kolhapur,old structure collapse,,1,0,0,0,0,0
Kolkata,construction ongoing,,1,0,0,0,0,0
Kozhikode,train,,1,0,0,0,0,0
Kurnool,roadway,,1,0,0,0,0,0
Latur,roadway,,1,0,0,0,0,0
Lucknow,roadway,,1,0,0,0,0,0
Maihar,roadway,,1,0,0,1,0,10
Mainpuri,roadway,,1,0,0,1,0,8
Manamadurai,roadway,,1,0,0,0,0,0
Mandya,roadway,,1,0,0,1,0,30
Mangalam,roadway,,1,0,0,0,0,0
Mayiladuthurai,roadway,,1,0,0,1,0,23
Medchal,train,,1,0,0,0,0,0
Meerut,roadway,,1,0,0,0,0,0
Moga,roadway,,1,0,0,0,0,0
Morbi,roadway,,1,0,0,1,0,8
Mumbai,aviation,,1,1,0,0,0,0
Mumbai,others,unspecified,1,1,0,0,0,0
Mumbai,construction ongoing,,1,0,0,0,0,0
Mumbra,old structure collapse,,1,0,0,0,0,0
Nagar,roadway,,1,0,0,0,0,0
Nagpur,roadway,,1,0,0,0,0,0
Nashik,others,unspecified,1,0,0,0,0,0
Noida,roadway,,1,0,0,0,0,0
Palghar,others,unspecified,1,0,0,0,0,0
Panaji,roadway,,1,0,0,0,0,0
Panchkula,roadway,,1,0,0,0,0,0
Panipat,others,factory manufacturing,1,0,0,0,0,0
Parbhani,roadway,,1,0,0,1,0,26
Patan,roadway,,1,0,0,0,0,0
Pathankot,train,,1,0,0,0,0,0
Patna,others,unspecified,1,0,0,0,0,0
Pimpri,old structure collapse,,1,0,0,0,0,0
Poladpur,roadway,,1,0,0,1,0,2
Pune,construction ongoing,,1,0,0,0,0,0
Pune,others,factory manufacturing,1,0,0,0,0,0
Pune,aviation,,1,1,0,0,0,0
Puri,train,,1,0,0,0,0,0
Purnia,roadway,,1,0,0,0,0,0
Rajkot,roadway,,1,0,0,0,0,0
Ramgarh,others,factory manufacturing,1,0,0,0,0,0
Ratnagiri,roadway,,1,0,0,1,0,22
Rohtak,roadway,,1,0,0,0,0,0
Sakri,roadway,,1,0,0,1,0,16
Sambhal,roadway,,1,0,0,0,0,0
Savarkundla,roadway,,1,0,0,0,0,0
Shamshabad,roadway,,1,0,0,0,0,0
Srikakulam,train,,1,0,0,0,0,0
Suryapet,roadway,,1,0,0,1,0,18
Tambaram,train,,1,0,0,0,0,0
Tamil Nadu,others,factory manufacturing,1,0,0,0,0,0
Telangana,roadway,,1,0,0,0,0,0
Telangana,others,unspecified,1,0,0,0,0,0
Thanjavur,roadway,,1,0,0,1,0,2
Thiruvananthapuram,old structure collapse,,1,1,0,0,0,0
Thoothukudi,roadway,,1,0,0,0,0,0
Tiruppuvanam,roadway,,1,0,0,1,0,20
Trichy,train,,1,0,0,0,0,0
Tuni,train,,1,0,0,0,0,0
Uttar Pradesh,roadway,,1,0,0,0,0,0
Vinukonda,roadway,,1,0,0,0,0,0
Visakhapatnam,roadway,,1,0,0,1,0,6
Wayanad,roadway,,1,0,0,0,0,0
