Date,Accident Type,Sector (others only),Cities,Highways,Killed,Injured,Reported Cause (detail),Cause Tags,Times Reported,Reported By,Time of Day,Victim Gender,Victim Age(s),Severity,First Reported,Last Updated,Headline,Headline (English),Link
2026-08-20,others,unspecified,Siddipet,,4,,Police suspect the accident may have occurred after the child tugged at the steering wheel or an animal suddenly appeared in front of the car.,lost control,2,V6 Velugu,,Male,,Fatal,2026-08-20,2026-08-20,సిద్ధిపేట జిల్లాలో ఘోర ప్రమాదం.. అదుపు తప్పి బావిలో పడిన కారు.. నలుగురు మృతి - V6 Velugu,Fatal accident in Siddipet district.. Car lost control and fell into a well.. Four killed - V6 Velugu,https://news.google.com/rss/articles/CBMisAFBVV95cUxPVmxSTzBZOU1oZ2ZxeU9rWnZhTWxsYWt1d0d4Z1F6X1hlN2ZpY2JUWTVKV3JlTFQ5amF2WDVIb28xQ0R4ZEhXbmZJb0VMZmFGcU8xcGFWRkw2TUVVM1VlZGVDcGVrYnlGbXozNl94MjVRbHM1MF96WDNWWVNfQjNQTjV3SjZBUmtmbTJuSTM2REU3alNSd0JVSjVZTGRzRk1LYTVoWFhycW1uTE1WOWM0OA?oc=5
2026-08-20,others,factory manufacturing,Bhilai,,1,,,,1,ETV Bharat,,,,Fatal,2026-08-20,2026-08-20,"भिलाई सिस्कोल फैक्ट्री में दर्दनाक हादसा, जॉब हैंडलिंग के दौरान भारी चीज गिरने से मजदूर की मौत - ETV Bharat","Tragic accident in Bhilai Sicol factory, worker dies due to heavy object falling during job handling - ETV Bharat",https://news.google.com/rss/articles/CBMisAFBVV95cUxQUTg0Z0VvelN5cENtTnRpeWpZY3pSeE1pV2dfaGJJV25WaFJwUW1ad3B1REN5bVRYTkNIU09HUjZTbGotZGNnaVM3ZERGajVGTlNXVGlxQnhtYVhINGRMRkVRYUZEbnBrYWZFbm1JNmFoallXd29yMVRNVWoyNTVRdjRsVTd2aHlCRVgyVlN1eFo3LTVienZaZGk3TTJ3UjZiNXM1Zk9tMHpMSGVrOU9tU9IBtgFBVV95cUxPVXpRR19tcnZYcGdEQXRXczB6RWwya25yUm9GaFg0R2RSeWEzMHI1TGVXcmZwRmJCVk9oS01uNm1qOWQ0LThhNlNXZUdTR2FDNFVNM2NHVnQ0TW1KOFlCWGVrcVdibFh6VzRVLWFPd0NMRzJ6TVNuTGRuUUJ1QXotblc3cFJhNlgtYi1LR1ozb2xUNnp6bmtrZE94OWFrNzUwbU5jSUxZTlcydm0xQi10ZVFCU1E2dw?oc=5
2026-08-20,roadway,,Kukatpally,,,,,,1,hmtvlive.com,,Male,,Not stated,2026-08-20,2026-08-20,Kukatpally: కూకట్‌పల్లిలో ఘోర ప్రమాదం టిప్పర్ లారీ ఢీకొని వ్యక్తి మృతి - hmtvlive.com,Kukatpally: Tipper lorry collides with a fatal accident in Kukatpally - hmtvlive.com Kukatpally: Fatal accident in,https://news.google.com/rss/articles/CBMikgFBVV95cUxQb2ZNbFVUYVRmSGd0Rk02VU5fczVrQUdzZkliRjdyZmpGOWwwWnZNbGw0Z00xSmhpV3ROZm5lM0NKN0RHR1VaZFU1S2VRdGV6ci1tN2UyblJpZE1zaThxV2RONFZyYk52YzJqamJ4RnVYUEdWU191Q2hPb2oyMFpOc1ZwQzF4Vk1WMVdFOVI3WVotUQ?oc=5
2026-08-20,roadway,,Maharashtra,,10,,,,2,Prabhat Khabar,,,,Fatal,2026-08-20,2026-08-20,महाराष्ट्र सड़क हादसे में मौत: परिवार का सहारा छिन गया - Prabhat Khabar,Death in Maharashtra road accident: Family lost support - Prabhat Khabar,https://news.google.com/rss/articles/CBMioAFBVV95cUxPS3ZOOF85dUlFTU83SkcwR092N2JVM01TMDA2WmNORi1UVUlUMnVYNHB2UWxSaDZFdHZ0UHl5MEhHSS02aXJ3WG8tbGhNeGtLNG4yNWtDZzRwb29fdEprS0xsMWVGZjF5d1hnVWJ3aEhBc1NwX1NnX0QybnYxLTlXbWkyOEcxeXZLd2otcGg1SU9iMXdhSmF4OVplZzY2RzlZ0gGmAUFVX3lxTE8tcW9ZaDBNcEpNd0tTT2RaRG1lcy1nbEV2ck1QSFIxbndMYjZXTTJfSHA4UmRGZWg0TXZmdXRZOFFFUGIxS2RWS2VnV0VVTElKLVpKRjk2TnlPYTRUS1V3UVV3Rk5mLXRSa3laMm1jSlAwQjdKSXY4U2hxNGVManJMamg4SnRCQlA2dUIydDIxakJ6aWtXSWRWSXpBVEhLZkdibmUtWXc?oc=5
2026-08-20,aviation,,,,,,,,1,Gulte,,,,Not stated,2026-08-20,2026-08-20,Indian Origin Couple Killed In UK Plane Crash! - Gulte,Indian Origin Couple Killed In UK Plane Crash! - Gulte,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQLTNrSHpjWUdCOE1hTDhtbmxmRVk0aDJodE14RU1DRUZ4dk5lclRrZDZYTmVVN24tdzc3U3B4U3hIOFdldTctaTNSUmZuY1EweVlaTkZ1TXl6TlFmWDIwRjI5cUVtbC1RQU9FQ1ZOczZJcFRYTXU4TXFzY3Jzclo4Q2YyUHRUSXlhOXNJ0gGQAUFVX3lxTE5Nc05TYnBPQzJtQ2ptQ21FaDBrdzJnMjNLNmJUaGhDOTgxLWJXaWFmSVdScHhoX2M3ZFhiR2lVdlg5ZGQ1QU4wVmtNRDkzelYtQ0QxQVFOVUkxNkdZaEJxTnJJbk9BSVVxODlvRmViNGM1U3hCUzdDRUpyYXEyRzQ4Z3NaZXFxNXY0MGpSakxRSg?oc=5
2026-08-20,roadway,,Jaunpur,,,,,,1,Amar Ujala,,,,Not stated,2026-08-20,2026-08-20,"VIDEO: जौनपुर में भीषण हादसा, बस की टक्कर से सड़क किनारे पलटा स्कूल वैन, कई बच्चे घायल - Amar Ujala","VIDEO: Horrific accident in Jaunpur, school van overturns on roadside due to collision with bus, many children injured - Amar Ujala",https://news.google.com/rss/articles/CBMi9wFBVV95cUxNNTRGWWgzcWQtVUptb1RWN1lOalJ6amtJNkZWVVE4UWp5VzVpcXVVQ2J4MVZUYmJEODZMMy1XX2hIeWlzQUlucncwX3VsTTVCTXRjU0VtVXFQaTNJZk1jYm1zVVFkNlpCWjhTTDlLRDlhdDdua0RFTjVqdlRiQldNQi04M3ltZ0xxZmF1Y3BMVFI5UVpRS0lidWlFaWFpeGhFX28tMDM4Sk9ETUMwM2x6a0JKRk9jLW0ydjBlVGFwd0NHSUtNSXZ4NWpyZ3J0ckhGTmlxMkFFT0tKVVF2RmsyazVnZUhsY3RtQVJnS1F4RlNBbWZBcUhJ0gH8AUFVX3lxTE1VQTNwQ0p4cEJkOVFxMVpQLW9YU2JiRF9hTEYzTVJkNDNGQWdDVGZLTFV4aklfTlBuR2JzRWN3b0F1ZHdKbjVJcjN1TUUtaWJkLVl6ZTJCV2Q1elNtTnJSM0hBV3M1cUZydXJLN3VVeXF5d3NSRklMWW94YlNsSVpXREVJWVVqdEs5R0EyekkzWVpUNXFqOWhsRzBVWG93YUc4Ql81bmJ1RkdGQlU3TXpvTjVKN0FMWGxzQUZySDhnSHhRQWJWak1LYTJCTXRhVm4ySGdRNjZ1M0VWWDJhV2VXY250VUpGM0FDdVV3MFZkd2trd1ZfZGRleEJ3UA?oc=5
2026-08-20,train,,Chhapra; Rampur,,10,,,,2,Dainik Bhaskar,Night,,,Fatal,2026-08-20,2026-08-20,"रामपुर में हेडफोन बना शाकिर की मौत का कारण: बाबूगढ़ ट्रेन हादसे में छपर्रा निवासी की जान गई, देर रात हुआ अं... - Dainik Bhaskar","Headphones became the cause of Shakir's death in Rampur: Chhapra resident lost his life in Babugarh train accident, death occurred late night... - Dainik Bhaskar",https://news.google.com/rss/articles/CBMi4gFBVV95cUxONnV3X2hmQWo2TGhTNVMzS0dTSTc2OEpwNmVSWkFQSExOYUxWdGtzUVotVzlqNENlSkx0Y2lsVG9ZWWdtUkE3aWtTeWVOQzV1b2p1UnZlMGM0SDRwV215aVJTYmdvR01mT2xySXJadEN3bG8xNHlHZ180cHAtSVVrQlgtODQ1bm42UUczeEYxNm5xOVFNQjNnbEgzVl9uRUNfdThadzZaakQ3aEY4WE1kMGpYRk5QZzA3bFlCcjRrckZWM2ZlVnJIVFk5RlBRMllSNkVSaFpiNkZHbklwZVN2WFZB0gHnAUFVX3lxTE5kTUtLOTd1SS16el9mNU5CX3lpbVc2TzB4bTA2Q2ZqRTJFTDg4ZHJ2QTh4dUQ4RGlSd3ZHa090d1lBV2ZHU2lXUDN4MHkyVDd5SWlWaEdfWFZfMFZMbnh3UDROV1ZxNDZ4dmp6bHZJZC1jRXYwSzFLM29TaEl3QUFRSV9RMzZhaVFLVU5vNWNfMURQMjNnRkdyMElLWjZWWU9TZjRJTHpTT2szZVZQZ3NKbVcxNmhVRXM0VWRRdllBTFdvVW5VNzdrcFJwMGQtekw1alY3cnJIMUwwSTFUR3BIRWhmMkNWOA?oc=5
2026-08-20,roadway,,Vinukonda,,,,,,1,hmtvlive.com,,,,Not stated,2026-08-20,2026-08-20,Vinukonda: వినుకొండలో ఘోర రోడ్డు ప్రమాదం దంపతులు దుర్మరణం! - hmtvlive.com,Vinukonda: A couple died in a serious road accident in Vinukonda! - hmtvlive.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxQZjVDLWluYTVQcVBnc0pYeks5WnNlRWJJY0U3RkY4ajIwLVkwd2pHeFV6UmRRaDl5eTFMNktJVTExaWZ2S2F0WHVqeHVwbS1DT21BaVVreTJCdklycmF6UXpxdUJsaDdQel82MG50X2FtUzRtNV9tTXRmeFZGVWVQZjYwWl9kQzJWWF9zYm9PaF91ektQTkNJTDVLVlpyYnE4VE9NU1cwamVOc0hId2JHOTBrVdIBuAFBVV95cUxPRm8tWUxQc0M4U21TQkY0ZFlLUW1XSWpyWFNtWHlsWE1oTzE4MXExNXZuU0g0QzVUZkR4a2JWWFlyd2RXM1NKeW5ES0tGLVpJaXo4bXJqWEljY0FQN2VsS0puTXJ0U2RhOFhndkNCOTVkQVFhUGJ1bHYzUDI5aDFEQ0pDWWVna3UxOHBTVXVSeEhWR19lQi1PUlAzdDhUVW01S2EzM1JoWTUzMERfRUVYZ3lWakxfaGd6?oc=5
2026-08-20,roadway,,Palnadu,,,,,,1,BigTvLive,,,,Not stated,2026-08-20,2026-08-20,పల్నాడులో ఘోర రోడ్డు ప్రమాదం.. జీపు ఢీకొని దంపతులు మృతి! - BigTvLive,Fatal road accident in Palnadu.. couple killed in jeep collision! - BigTvLive,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNOWFYaEFwMnV1cDMxNUhGWXZOYXhtOXVuZkJ3bVVqQmZJM2RiOWp6VGtxdmVZZ2hheWx1TmtiZUZYVGltM1FiMm1XdjJueTVYQ01iUGZqal9PMnRTRG1qR1hvRkRjNjkwLUJ4Tzk5YjY1TU9jSWZtSmVBZ2FuWUxiTG9PSWRYR202ZGEyc2VmXzhqYXhwN1NDZzR1VmJwcHd4b0toUU5HN25Idw?oc=5
2026-08-20,aviation,,,,,,,,1,The Times of India,,,,Not stated,2026-08-20,2026-08-20,"Pennsylvania crash: State police helicopter, Cessna plane collide midair - The Times of India","Pennsylvania crash: State police helicopter, Cessna plane collide midair - The Times of India",https://news.google.com/rss/articles/CBMi2AFBVV95cUxOVmhMRFY5OE40VWJqanFTRVY4ems4YlhtSG9IZmhHRWV4NDYtdE5ha3N3MDg4bWM4YkRqaTZrb3p6Ynk0UVFQNW5Zei1VQ3d4SFd4MnJMMDFJaXhnRy1DSTl4Y3pEaEEtNzMyUFdsTThHMTRKdWxVc2tmRmlzWmVCRXFiUXpGb0VKSUdja045eVc0WXFiU2dkOGxMc05YaE9EaWZhVnRBQnFrcGRKazBYQ0k1SDRONWRWYTJHeVczSGZiQVBHcEdhU09EOUUwYm5tRVZ6ZFlfMlnSAd4BQVVfeXFMTW15Y3BHM1FvR0k5OU5OeVFOcnB4VnhvU0RHXzVNYmpnXzJrTmgzUUFUYUdpQTJ2OTZycC1qVWlXVzNjMmVuUWVOalloeW1uOHkwR0FXaGZQVkVoYTgtY0lybzcybVB0cTZVQ25hbjVESzBkTE1TWVFyWGdNbGRoLXh6b1dIcnlNZWJsaDJJMVd6Vy1hcm1EeXNUU1RBUGhSNWVWR2Faam1CMGdnYnVrbHJKajgwRFpHMTM4aDdDQUliMnoyNEdYaDNOb3FUdGZ4SGRDZjBCYVpyZ2lTYW5B?oc=5
2026-08-20,others,unspecified,Assam,,,,,,1,Tehelka,,,,Near miss,2026-08-20,2026-08-20,"असम: 65 हाथियों को बचाने के लिए रोकी गई राजधानी एक्सप्रेस, होजाई में टला बड़ा हादसा - Tehelka","Assam: Rajdhani Express stopped to save 65 elephants, major accident averted in Hojai - Tehelka",https://news.google.com/rss/articles/CBMilAFBVV95cUxPMGR2X294WHRWZDd3dG1nV0FPN01xaVF3dGI5Y1FJSWtOZW5IcUh4NzFMQkpxTm9XM0tsbzlhUnpiZHEyelRvd2pyWjZ0ZFJNZlh2ZEFMc3lkc1RJNC1FN280WW9TQ2NsS1diaVlLSXZJaHJ0cmpPYnlWemdLRk5MVkw1ckhvWURnb242OXVaXzM2TjZK?oc=5
2026-08-20,others,unspecified,Telangana,,4,,,,1,NewsMeter Telugu,,,,Fatal,2026-08-20,2026-08-20,Telangana: బావిలోకి దూసుకెళ్లిన కారు.. ఒకే కేటుంబంలో నలుగురి మృతి - NewsMeter Telugu,"Telangana: Car crashes into well, 4 dead in same family - NewsMeter Telugu",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNS0V1SGRqYWo5VVRucUYweTBwY0pHdUZGRlJUZWh4d0FETTkyVzl6eFV2UmNyQmN0bmxTWkVxWmd0Vkx0T0xHSTJRaFJxUWpxV0NHcnpZbXdUVFRVNDhqYnVWSm04b3J5M3R2b3BtRnMzUk5ObHcxb19CZHYwRnRBWWVqR0d5TzFsUjV4Y0VJUjJmU1lZUzlaWlFEVVlZUk9pcWphV19jSGhON3NhS1dpTXBPempyeU5GTWJFWnZhc1BZOFpfdl9Fd1dGbFlOZnR0WGc?oc=5
2026-08-20,aviation,,,,,,,,1,,,,,Not stated,2026-08-20,2026-08-20,Flyers Face Booking Issues For Some Time After IndiGo Website Hit By Snag,Flyers Face Booking Issues For Some Time After IndiGo Website Hit By Snag,https://www.ndtv.com/india-news/indigo-website-briefly-hit-by-technical-snag-flyers-face-booking-outage-11933119#publisher=newsstand
2026-08-19,train,,Sonbhadra,,10,,,,2,Dainik Bhaskar,,Male,,Fatal,2026-08-19,2026-08-20,"ट्रेन की चपेट में आने से युवक की मौत: सोनभद्र के सिरसोती हुआ हादसा, शव पोस्टमार्टम के लिए भेजा गया - Dainik Bhaskar","Youth dies after being hit by train: Sonbhadra's Sirsoti accident, body sent for postmortem - Dainik Bhaskar",https://news.google.com/rss/articles/CBMizwFBVV95cUxPX19EMjIzd2FRTVVjOGZ6NGJnd05LemNIcVA4dWVsZFcxWVN0M0FCdW41YnR3cVAzOHpDMlh0U2RrNUpMQ3JEWGlTUmdNUVJ5RzRrcW5zMjZzVXdzMHNRSnpZNnZJYlR1cW5id3pBOUVvcWtmTGJGNEJYZUthNXplYllmbmZ2NXF6bktkY1UybFV6QnhoQWl1MzFnYldRc0JLeDF0YlY4bmFKWHV5ODJBb0Uwc2NWOFlETVNYN19IQ3AxX2gwSXloaWpnN0VOWTTSAdQBQVVfeXFMTldkNFRVX0FyYVFLU3hOaTRCajFXbzl4WHF6Y1ZlTzA5bmNWNU5tdXdWYU5sNXNRTzNHZ2stb1JuTHRBblFreC1CdGdsdFV3T05RSzJyY0NxZ1lOX1dFNkRyTVZFeHRsZ05nbmxkMnZDREhPbkZjUHlmaTJEVlpHSTR3Mm1oUkowOV9taW0yd01kZDhOZC1qMk9mUEhxaUlnbGtDeEFGeEY4ZmtZMWc1WUY1OXZhWFdrTkRPdzZuQTVNQXFEdUxkZVVmVXhQRkVxN0FqLW0?oc=5
2026-08-19,others,unspecified,Chandauli,,2,,,lost control,1,Amar Ujala,,,,Fatal,2026-08-19,2026-08-19,"Chandauli News: बेकाबू कार ऑटो से टकराई, दो युवकों की मौत, तीसरे की हालत गंभीर - Amar Ujala","Chandauli News: Uncontrollable car collides with auto, two youths died, condition of third is critical - Amar Ujala",https://news.google.com/rss/articles/CBMinAJBVV95cUxNMXJIejV1bHVuMzlTX0lJcW5zbDlVWTdzcW44ckJvbnAzRE84UHpPd2dEYjJtYTdiTWh4UlFPX0NfMjJaMVZ1NU1iUUw1THZDZWpvdEZUSXB4NXE0QjdNLVFvX01wb1FwTGpVRFdwQlZaSjNWRjN1OWExVkptTVNxSjM1RW15ZW9UWTlRdFhkYXdPMnNMWjRCam0yM29qZEczUlItYThPeW01b2dpTTNMYk1DTFcwY003cHhFd0dGWHJfVXhtQzlqUmtxQUhNaHVvOG9GamFXRElVU2dpOXBibDZ3Uk1BZDloUGllenNMeHkzWkxUWUFFb1F2LW8wMU9QQURsLUhJZFoxTV9qcUY5SmFGOFRuMUFLSTJJUdIBogJBVV95cUxQMGhWbC1kY1lJbnhrUFA2eWZjTHU0bWNDeDBFUTBhYzNSa3dkN0ZiaF9MVHVpRnY2ejUzUHlZNFdPOG5vNktOQWRKVGo1V2Z0TWVyZF9PbV84Wkk0RDVsdlNMa21reGxuaUpjWk9kbVBaMGR0RUM0QUZlV3ZBdDlFWmVMWXBFVFl5YWNJNlA5X3ZuYjRZRmFGWXlnZC1Uc19XZzlrenlsY2RfOVNNcjZoc3g5UnJhQjR0R2MwZkd0OEMyR1k2bkwzaTNpbllnN0MxelBRdUliQmpMZmpjdUhTdllla0pia0dCUkhxa0dxbHlLTjVkZW9fTHlsU0ptekVYeWNuOTltN3F6N19yN0FlZ1l4NlRWRC1uX2dTYzJ4QVpJQQ?oc=5
2026-08-19,roadway,,Faridabad,,,,,,1,Amar Ujala,,,,Not stated,2026-08-19,2026-08-19,"Faridabad News: सड़क हादसे ने छीन ली तीन जिंदगियां, घरों के बुझ गए चिराग - Amar Ujala","Faridabad News: Road accident snatched away three lives, lamps of houses extinguished - Amar Ujala",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPdTFyQTAyQjRtMGpDLWViSVItQ0M3MGxOMnppNjBsUHM3UU9qYTJleUFlZ25pZzhxVEtRNF9Cc041ZW5Ebnk4UUMzT2NPSUpyRnFhbk1vX0QwbzRRMm9mZ2s0Z3RwNU9IeTkyd0hiX0d1dWRUU3g2YVJnTFdTLWM2YmxNNVNvMnpMZmFQclBnZmRSVENsbkxpZUhSNWNYU0x3U2pPdlhJR01oRU40SDF1WVB3UzVrdnBGYmxrNUNXa3h3cUg1Zmg3NE1iYjNNZ1d2Mk40cUNpcnBoSzk0NUFqZmJMd9IB6AFBVV95cUxOd2ZFZG16VGlDVkNhUXRWcV9QaTdvTFNMdkMyeks5S010cUNLUTVieG4zajZ5M0phMDU3enVWTkpoY2FLQzVjTzhfeVJCVTZseWMyczVOX2lzTU15WmZXaTl1aG1tUUNTUkEtOWtLdTdXZ1pNUjA0NTAtQ1dKZzhhWG9RS19YSUl1aE5kRXZaS0tSSjRPVFFfMVY0b29OcHJWSE5IcmI0dWo0SVJFdTJjVS1YNDJZaDh0Rnd4T3VIbHVhVzlBQnV0YVkwRnFRUmNhQVFXUGYyUTBaWjJvaGFPZjk3bkNoZmxK?oc=5
