City,Accident Type,Sector (others only),Number of Accidents,Near Misses,Fatal Accidents,Injury-only Accidents,People Killed,People Injured
Thane,roadway,,1,0,1,0,2,1
Tirupati,roadway,,1,0,1,0,2,0
Aurangabad,roadway,,2,0,1,1,1,42
Thane,old structure collapse,,2,0,1,1,1,2
Aligarh,train,,1,0,1,0,1,0
Bahadurgarh,others,factory manufacturing,1,0,1,0,1,0
Bandlaguda,roadway,,1,0,1,0,1,2
Bareilly,train,,1,0,1,0,1,0
Bharuch,roadway,,1,0,1,0,1,0
Bhilai,others,factory manufacturing,1,0,1,0,1,9
Bokaro,roadway,,1,0,1,0,1,2
Bulandshahr,roadway,,1,0,1,0,1,15
Chennai,train,,1,0,1,0,1,0
Coimbatore,train,,1,0,1,0,1,0
Daund,construction ongoing,,1,0,1,0,1,0
Dombivli,old structure collapse,,1,0,1,0,1,0
Dombivli,train,,1,0,1,0,1,0
Durgapur,others,factory manufacturing,1,0,1,0,1,0
Ghaziabad,roadway,,1,0,1,0,1,21
Gorakhpur,train,,1,0,1,0,1,3
Hardoi,construction ongoing,,1,0,1,0,1,0
Hathras,roadway,,1,0,1,0,1,0
Hingoli,roadway,,1,0,1,0,1,0
Hyderabad,roadway,,1,0,1,0,1,0
Jamnagar,roadway,,1,0,1,0,1,2
Jhansi,roadway,,1,0,1,0,1,0
Kerala,roadway,,1,0,1,0,1,26
Keshod,roadway,,1,0,1,0,1,0
Kishangarh,others,factory manufacturing,1,0,1,0,1,0
Kovilpatti,roadway,,1,0,1,0,1,0
Kukatpally,roadway,,1,0,1,0,1,0
Maharashtra,old structure collapse,,1,0,1,0,1,0
Moga,roadway,,1,0,1,0,1,0
Mumbra,train,,1,0,1,0,1,0
Mumbra,old structure collapse,,1,0,1,0,1,0
Nagpur,roadway,,1,0,1,0,1,0
Panipat,others,factory manufacturing,1,0,1,0,1,0
Pune,roadway,,1,0,1,0,1,10
Rajouri,roadway,,1,0,1,0,1,1
Sambalpur,train,,1,0,1,0,1,12
Seoni,roadway,,1,0,1,0,1,15
Telangana,roadway,,1,0,1,0,1,0
Thoothukudi,roadway,,1,0,1,0,1,0
Thrissur,roadway,,1,0,1,0,1,0
Uttar Pradesh,roadway,,1,0,1,0,1,0
Visakhapatnam,train,,1,0,1,0,1,0
Kolhapur,roadway,,2,2,0,0,0,0
Mumbai,construction ongoing,,2,0,0,2,0,24
Amreli,train,,1,1,0,0,0,0
Anand,train,,1,1,0,0,0,0
Anand,roadway,,1,0,0,1,0,3
Anantapur,roadway,,1,0,0,1,0,20
Baghpat,train,,1,1,0,0,0,0
Bahraich,roadway,,1,0,0,1,0,17
Bhandara,construction ongoing,,1,0,0,1,0,3
Bihar,construction ongoing,,1,0,0,1,0,1
Bijnor,train,,1,1,0,0,0,0
Buldhana,roadway,,1,0,0,1,0,12
Chandigarh,roadway,,1,1,0,0,0,0
Chennai,roadway,,1,0,0,1,0,4
Chhattisgarh,roadway,,1,0,0,1,0,6
Dahod,roadway,,1,0,0,1,0,8
Dausa,roadway,,1,0,0,1,0,20
Delhi,others,factory manufacturing,1,1,0,0,0,0
Ganderbal,roadway,,1,0,0,1,0,39
Ghaziabad,others,factory manufacturing,1,1,0,0,0,0
Gujarat,old structure collapse,,1,0,0,1,0,5
Hisar,roadway,,1,0,0,1,0,3
Indore,roadway,,1,0,0,1,0,4
Jabalpur,old structure collapse,,1,1,0,0,0,0
Jalgaon,roadway,,1,0,0,1,0,1
Jammu,roadway,,1,0,0,1,0,9
Kanchipuram,roadway,,1,0,0,1,0,25
Kangra,roadway,,1,0,0,1,0,17
Karnal,roadway,,1,0,0,1,0,8
Kushinagar,roadway,,1,0,0,1,0,8
Maihar,roadway,,1,0,0,1,0,10
Mainpuri,roadway,,1,0,0,1,0,8
Mandya,roadway,,1,0,0,1,0,30
Mathura,roadway,,1,0,0,1,0,25
Mayiladuthurai,roadway,,1,0,0,1,0,23
Morbi,roadway,,1,0,0,1,0,8
Mumbai,aviation,,1,1,0,0,0,0
Mumbai,train,,1,1,0,0,0,0
Palamu,train,,1,0,0,1,0,11
Parbhani,roadway,,1,0,0,1,0,26
Poladpur,roadway,,1,0,0,1,0,2
Pune,aviation,,1,1,0,0,0,0
Rail,train,,1,1,0,0,0,0
Rajkot,roadway,,1,1,0,0,0,0
Ratnagiri,roadway,,1,0,0,1,0,22
Sakri,roadway,,1,0,0,1,0,16
Satna,others,factory manufacturing,1,1,0,0,0,0
Suryapet,roadway,,1,0,0,1,0,18
Thanjavur,roadway,,1,0,0,1,0,2
Thiruvananthapuram,old structure collapse,,1,1,0,0,0,0
Tiruppuvanam,roadway,,1,0,0,1,0,20
Visakhapatnam,roadway,,1,0,0,1,0,6
